"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"283-0510-009-0000","1704","Haggin Grove","95608","4","3 (3 0)","3182","0.3110","1981","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 11-15YR","65","65","1199000.00","1125000.00","1075000.00","07/18/19","10/21/19","No","0"
"258-0410-011-000","3301","Winsome","95608","3","2 (2 0)","2090","0.2100","1992","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","49","49","549950.00","539950.00","537000.00","06/13/19","08/26/19","No","0"
"273-0102-017-0000","3012","Scenic Heights","95608","3","3 (3 0)","2685","0.2439","1971","Updated/Remodeled","Yes","Other-Rmks 0-5YR","16","17","749900.00","749900.00","675000.00","06/11/19","07/26/19","No","0"
"236-0350-041-0000","6312","SAINT JAMES","95608","3","2 (2 0)","1898","0.2300","1974","","Unknown","","96","96","475000.00","472000.00","472000.00","06/12/19","10/17/19","No","0"
"230-0161-003-0000","4537","Bela","95608","3","2 (2 0)","1438","0.2479","1960","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","51","51","439900.00","429900.00","429000.00","06/12/19","09/11/19","Yes","2"
"229-0261-025-0000","6157","Hilltop","95608","3","2 (2 0)","1440","0.2100","1965","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","24","24","374900.00","374900.00","374900.00","06/13/19","08/21/19","No","0"
"236-0094-015-0000","6121","Winding","95608","4","3 (2 1)","1846","0.2376","1964","","Unknown","","102","102","400000.00","325000.00","325000.00","06/13/19","10/07/19","Yes","2"
"245-0234-012-0000","4112","Valiant","95608","4","4 (3 1)","2350","0.2300","1962","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","79","79","499900.00","475000.00","460000.00","06/13/19","10/24/19","No","0"
"272-0063-010-0000","3139","KOBROCK","95608","3-4","2 (2 0)","1727","0.1900","1978","","No","","2","2","324900.00","324900.00","348000.00","06/14/19","06/24/19","Yes","6"
"247-0141-002-0000","4120","Prospect","95608","4-5","3 (2 1)","2069","0.3600","1967","Updated/Remodeled","Yes","Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","79","79","589000.00","559000.00","565000.00","06/29/19","10/14/19","Yes","2"
"282-0072-004-0000","4913","Melvin","95608","4","4 (4 0)","1950","0.2314","1955","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","40","40","447900.00","409900.00","400000.00","06/14/19","09/13/19","Yes","3"
"232-0252-019-0000","5348","Hesper","95608","3","2 (1 1)","936","0.1500","1962","Updated/Remodeled","Yes","Kitchen 6-10YR","2","2","303000.00","303000.00","307500.00","06/25/19","07/22/19","No","0"
"260-0163-013-0000","6145","Landis","95608","3","2 (2 0)","1546","0.3400","1941","Updated/Remodeled","Yes","Bath 6-10YR,Bed 6-10YR,Kitchen 6-10YR","142","142","445000.00","414000.00","410000.00","06/19/19","12/30/19","","0"
"236-0243-022-0000","4924","Crestview","95608","3","2 (2 0)","1469","0.2094","1963","","Unknown","","69","69","383000.00","374000.00","357700.00","06/19/19","10/02/19","No","0"
"245-0271-010-0000","4244","Abraham","95608","4-5","1 (1 0)","1904","0.5500","1948","Fixer","Unknown","","15","15","399000.00","399000.00","342000.00","06/20/19","07/12/19","Yes","2"
"232-0411-010-0000","5781","Cada","95608","3","1 (1 0)","1282","0.1300","1961","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","5","5","299900.00","299900.00","310000.00","06/20/19","07/25/19","Yes","4"
"292-0480-029-0000","4718","Dovercourt","95608","4-5","3 (2 1)","2634","0.2900","1972","","Unknown","","5","5","775000.00","775000.00","770000.00","06/20/19","07/31/19","Yes","2"
"260-0360-015-0000","3718","California","95608","3","2 (2 0)","1719","0.3202","2000","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 0-5YR","34","34","425000.00","405000.00","405000.00","06/20/19","08/23/19","No","0"
"240-0370-046-000","4803","Cypress","95608","4","2 (2 0)","2362","0.1971","2016","","No","","33","85","610000.00","610000.00","595000.00","06/20/19","08/21/19","Yes","2"
"272-0330-006-0000","5721","Ivytown","95608","2","2 (2 0)","978","0.0291","1986","","No","","12","12","199000.00","199000.00","199000.00","06/26/19","07/18/19","Yes","2"
"230-0790-026-0000","5608","Vall","95608","2","2 (2 0)","1092","0.1387","1984","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","3","3","309000.00","309000.00","315000.00","06/22/19","07/26/19","Yes","2"
"230-0293-008-0000","4900","Andrew","95608","4","3 (2 1)","2358","0.3124","1965","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","20","20","529900.00","529900.00","529500.00","06/25/19","09/13/19","Yes","4"
"273-0141-001-0000","6101","Mauer","95608","3","2 (2 0)","1397","0.2576","1956","","No","","6","6","350000.00","350000.00","360000.00","07/05/19","08/15/19","Yes","4"
"289-0261-011-0000","5413","Alder Glen","95608","3","3 (2 1)","2012","0.2600","1961","Updated/Remodeled","Yes","Bath 6-10YR","7","7","649000.00","649000.00","665000.00","06/25/19","08/02/19","Yes","3"
"272-0012-008-0000","3212","Mayer","95608","4","2 (2 0)","1740","0.2500","1965","","Unknown","","31","31","414950.00","414950.00","407000.00","06/25/19","09/06/19","No","0"
"282-0380-045-0000","5028","Olive Oak Way","95608","3","2 (2 0)","1785","0.2100","1978","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 11-15YR","20","20","499000.00","499000.00","503000.00","06/27/19","08/12/19","Yes","2"
